date,week_time,time_block,weather,site,hours_spent_on_site,start_time,total_humans_adjusted,male_adults_adjusted,female_adults_adjusted,children_adjusted,walkers_adjusted,runners_adjusted,wheels_adjusted,dogs_adjusted,confirmed,site_category,macro_site_category,mins2_seawall,mins2city,lat,lon,mid_time,seconds_from_peak,time_from_peak_scaled
07-12-2024,WD,10:00:00,sunny,BL,1,10:00:00,68,36,29,3,31,8,29,0,Y,lakeside,water,6,19,49.3052,-123.1388,37800,12600,-0.15334438075000956
07-12-2024,WD,14:00:00,sunny,LL,1,14:00:00,113,51,55,7,107,3,3,9,Y,lakeside,water,6,7,49.2972,-123.1399,52200,1800,-1.46610869474666
07-12-2024,WD,08:00:00,sunny,PP,1,08:00:00,170,98,71,0,22,55,93,2,Y,seawall,water,0,24,49.3111,-123.1381,30600,19800,0.7218318285810906
07-12-2024,WD,12:00:00,sunny,TL,1,12:00:00,47,29,18,0,28,5,12,0,Y,forest,no water,13,25,49.2996,-123.1449,45000,5400,-1.0285205900811099
07-14-2024,WE,08:00:00,sunny,BL,0.5,08:00:00,50,26,24,0,30,14,6,0,Y,lakeside,water,6,19,49.3052,-123.1388,29700,20700,0.8312288547474782
07-14-2024,WE,10:00:00,sunny,BO,0.5,10:30:00,52,28,24,0,52,0,0,4,Y,developed,no water,2,16,49.3,-123.1244,38700,11700,-0.2627414069163971
07-14-2024,WE,14:00:00,sunny,HR,0.25,14:00:00,1164,544,572,48,500,28,636,4,Y,seawall,water,0,1,49.2968,-123.1348,50850,450,-1.6302042339962413
07-14-2024,WE,12:00:00,sunny,LL,1,12:00:00,105,56,45,4,98,5,2,6,Y,lakeside,water,6,7,49.2972,-123.1399,45000,5400,-1.0285205900811099
07-16-2024,WD,12:00:00,sunny,AQ,1,12:00:00,164,65,79,19,142,5,17,0,Y,developed,no water,4,10,49.3001,-123.1321,45000,5400,-1.0285205900811099
07-16-2024,WD,14:00:00,sunny,BO,0.5,14:00:00,70,30,32,8,58,0,12,4,Y,developed,no water,2,16,49.3,-123.1244,51300,900,-1.5755057209130474
07-16-2024,WD,10:00:00,sunny,HR,0.5,10:00:00,762,356,366,40,322,50,390,10,Y,seawall,water,0,1,49.2968,-123.1348,36900,13500,-0.04394735458362204
07-19-2024,WD,10:00:00,sunny,AQ,1,10:00:00,122,53,60,9,110,3,9,5,Y,developed,no water,4,10,49.3001,-123.1321,37800,12600,-0.15334438075000956
07-19-2024,WD,12:00:00,sunny,LL,1,12:00:00,81,36,41,4,65,12,4,6,Y,lakeside,water,6,7,49.2972,-123.1399,45000,5400,-1.0285205900811099
07-19-2024,WD,08:00:00,sunny,PP,1,08:00:00,182,104,76,1,30,65,87,1,Y,seawall,water,0,24,49.3111,-123.1381,30600,19800,0.7218318285810906
07-19-2024,WD,14:00:00,sunny,TL,1,14:00:00,21,14,7,0,13,2,6,0,Y,forest,no water,13,25,49.2996,-123.1449,52200,1800,-1.46610869474666
07-20-2024,WE,10:00:00,sunny,AQ,1,10:00:00,174,78,74,22,147,12,15,15,Y,developed,no water,4,10,49.3001,-123.1321,37800,12600,-0.15334438075000956
07-20-2024,WE,14:00:00,sunny,BL,1,14:00:00,82,39,38,5,52,0,30,1,Y,lakeside,water,6,19,49.3052,-123.1388,52200,1800,-1.46610869474666
07-20-2024,WE,10:00:00,sunny,BO,1,10:00:00,68,41,17,10,67,0,1,4,Y,developed,no water,2,16,49.3,-123.1244,37800,12600,-0.15334438075000956
07-20-2024,WE,08:00:00,sunny,LL,1,08:00:00,88,44,44,0,51,37,0,12,Y,lakeside,water,6,7,49.2972,-123.1399,30600,19800,0.7218318285810906
07-20-2024,WE,12:00:00,sunny,PP,0.75,12:15:00,905.3333333333334,438.6666666666667,408,58.666666666666664,158.66666666666666,30.666666666666668,716,1.3333333333333333,Y,seawall,water,0,24,49.3111,-123.1381,45450,4950,-1.0832191031643035
07-20-2024,WE,08:00:00,sunny,TL,1,08:00:00,14,11,3,0,8,5,1,1,Y,forest,no water,13,25,49.2996,-123.1449,30600,19800,0.7218318285810906
07-23-2024,WD,14:00:00,sunny,BL,1,14:00:00,108,38,48,22,71,2,35,7,Y,lakeside,water,6,19,49.3052,-123.1388,52200,1800,-1.46610869474666
07-23-2024,WD,12:00:00,sunny,BO,1,12:00:00,44,18,15,11,33,9,2,0,Y,developed,no water,2,16,49.3,-123.1244,45000,5400,-1.0285205900811099
07-23-2024,WD,08:00:00,sunny,HR,1,08:00:00,246,129,111,6,86,73,87,2,Y,seawall,water,0,1,49.2968,-123.1348,30600,19800,0.7218318285810906
07-23-2024,WD,10:00:00,sunny,LL,1,10:00:00,47,20,26,1,42,5,0,4,Y,lakeside,water,6,7,49.2972,-123.1399,37800,12600,-0.15334438075000956
07-25-2024,WD,08:00:00,cloudy,BL,0.5,07:30:00,8,4,4,0,2,2,4,0,Y,lakeside,water,6,19,49.3052,-123.1388,27900,22500,1.0500229070802531
07-25-2024,WD,08:00:00,rain,TL,0.25,08:40:00,12,8,4,0,12,0,0,4,Y,forest,no water,13,25,49.2996,-123.1449,31650,18750,0.5942019647203052
07-25-2024,WD,10:00:00,cloudy,LL,0.5,09:00:00,22,8,10,4,20,2,0,4,Y,lakeside,water,6,7,49.2972,-123.1399,33300,17100,0.39364075008192806
07-25-2024,WD,10:00:00,sunny,HR,0.25,10:00:00,620,304,268,48,176,16,428,8,Y,seawall,water,0,1,49.2968,-123.1348,36450,13950,0.010751158499571723
07-25-2024,WD,12:00:00,sunny,BL,0.5,11:30:00,108,50,56,2,74,0,34,0,Y,lakeside,water,6,19,49.3052,-123.1388,42300,8100,-0.7003295115819472
07-25-2024,WD,12:00:00,sunny,TH,0.5,12:20:00,20,12,6,2,8,0,12,0,Y,forest,no water,18,28,49.3072,-123.1494,45300,5100,-1.0649862654699056
07-25-2024,WD,14:00:00,sunny,TL,0.5,13:10:00,70,42,24,4,38,0,32,6,Y,forest,no water,13,25,49.2996,-123.1449,48300,2100,-1.429643019357864
07-25-2024,WD,14:00:00,sunny,LL,0.5,13:50:00,116,36,48,32,112,4,0,2,Y,lakeside,water,6,7,49.2972,-123.1399,50700,300,-1.6484370716906391
07-25-2024,WD,14:00:00,sunny,HR,0.25,13:50:00,832,424,344,64,340,20,472,8,Y,seawall,water,0,1,49.2968,-123.1348,50250,150,-1.666669909385037
07-26-2024,WD,08:00:00,sunny,HR,0.25,07:25:00,216,124,88,4,52,128,36,0,Y,seawall,water,0,1,49.2968,-123.1348,27150,23250,1.1411870955522427
07-26-2024,WD,08:00:00,sunny,BO,0.5,07:55:00,4,4,0,0,4,0,0,2,Y,developed,no water,2,16,49.3,-123.1244,29400,21000,0.867694530136274
07-26-2024,WD,08:00:00,sunny,AQ,0.5,08:40:00,44,30,14,0,32,6,6,4,Y,developed,no water,4,10,49.3001,-123.1321,32100,18300,0.5395034516371114
07-26-2024,WD,10:00:00,cloudy,PP,0.25,09:50:00,236,108,112,16,36,36,164,0,Y,seawall,water,0,24,49.3111,-123.1381,35850,14550,0.0836825092771634
07-26-2024,WD,10:00:00,sunny,BL,0.5,10:25:00,40,28,12,0,32,2,6,2,Y,lakeside,water,6,19,49.3052,-123.1388,38400,12000,-0.22627573152760125
07-26-2024,WD,12:00:00,sunny,PP,0.25,12:00:00,932,452,388,92,120,36,776,0,Y,seawall,water,0,24,49.3111,-123.1381,43650,6750,-0.8644250508315284
07-26-2024,WD,12:00:00,sunny,AQ,0.25,12:40:00,168,72,68,28,136,0,32,0,Y,developed,no water,4,10,49.3001,-123.1321,46050,4350,-1.1561504539418952
07-26-2024,WD,14:00:00,sunny,LL,0.25,13:30:00,128,56,72,0,104,16,8,4,Y,lakeside,water,6,7,49.2972,-123.1399,49050,1350,-1.5208072078298536
07-28-2024,WE,08:00:00,sunny,HR,0.25,07:45:00,208,140,68,0,64,96,48,0,Y,seawall,water,0,1,49.2968,-123.1348,28350,22050,0.9953243939970594
07-28-2024,WE,08:00:00,sunny,TH,0.5,08:40:00,2,2,0,0,0,0,2,0,Y,forest,no water,18,28,49.3072,-123.1494,32100,18300,0.5395034516371114
07-28-2024,WE,10:00:00,sunny,BL,0.5,09:30:00,36,22,10,4,10,10,16,2,Y,lakeside,water,6,19,49.3052,-123.1388,35100,15300,0.174846697749153
07-28-2024,WE,10:00:00,sunny,PP,0.25,10:32:00,728,336,328,64,176,68,484,16,Y,seawall,water,0,24,49.3111,-123.1381,38370,12030,-0.22262916398872165
07-28-2024,WE,12:00:00,cloudy,AQ,0.5,11:10:00,218,84,96,38,188,4,26,20,Y,developed,no water,4,10,49.3001,-123.1321,41100,9300,-0.5544668100267638
07-28-2024,WE,14:00:00,sunny,LL,0.25,13:35:00,100,44,44,12,88,4,8,0,Y,lakeside,water,6,7,49.2972,-123.1399,49350,1050,-1.5572728832186495
