group_ID,site,week_time,date,weather,time_block,hours_spent_on_site,start_time,activity,sex,age,dogs,dog_size,observer,confirmed,group_size,people_per_hour
BL_JU12_10am_3,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_3,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_4,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,1,68
BL_JU12_10am_6,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,F,A,0,NA,NL,Y,1,68
BL_JU12_10am_10,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_14,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_15,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,3,68
BL_JU12_10am_16,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_18,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,1,68
BL_JU12_10am_19,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,3,68
BL_JU12_10am_19,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,3,68
BL_JU12_10am_20,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,4,68
BL_JU12_10am_20,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,4,68
BL_JU12_10am_22,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,1,68
BL_JU12_10am_25,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,F,A,0,NA,NL,Y,3,68
BL_JU12_10am_26,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_27,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,F,A,0,NA,NL,Y,1,68
BL_JU12_10am_29,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,F,A,0,NA,NL,Y,2,68
BL_JU12_10am_30,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,F,A,0,NA,NL,Y,3,68
